pond,year,larv_density,med_prey,large_prey,vert_pred_dens,invert_pred,plankton,water_temp,DO,nitrates,pH,salinity,dist_to_breed,chlorophyll,turbidity,emergent_veg,conductivity,depth,suitable_598_split,suitable_598,log_larv_dens,log_med_prey,log_large_prey,vert_pred,log_invert_pred,log_plankton,log_water_temp,log_DO,log_nitrates,log_pH,log_salinity,log_dist_to_breed,sqrt_chlorophyll,log_turbidity,sqr_emergent_veg,azolla
Buena Vista 2,2024,1.25,2.1875,19.86607143,0,0.267857143,404.6875,22.4,5.6,35.12,7.73,0,618.4,60.17,2.599,5,143.4,184.404,827100,992700,0.098629993,0.503450193,1.29956696,0,-0.553951279,2.608191626,1.350248018,0.752048448,1.545554507,0.888179494,-1,2.791269481,7.756932383,0.556181847,2.236067977,0
Valencia,2023,0.165447025,67.5,6.473282443,0,0.061068702,4002.75,13.3,2.32,35.9,6.99,0.1,1068,210.5,1.251,90,174.6,152.4,37800,971100,-0.768511698,1.835690571,0.815574369,0,-1.139678329,3.602466952,1.123851641,0.374748346,1.555094449,0.844477176,-0.698970004,3.028571253,14.50861813,0.352375495,9.486832981,0
Valencia,2021,0.762711864,31.531532,5.818181818,0,0,1126.126126,12.7,0.88,36.53,8.07,0,1068,314.1,2.15,50,151.3,40,37800,971100,-0.114824197,1.512304516,0.769735286,0,-1.942008069,3.051972517,1.103803721,-0.031517051,1.562649672,0.906873535,-1,3.028571253,17.72286659,0.498310554,7.071067812,1
Ellicott,2022,0.199134199,0,4.171428571,0.085714286,0,1944,18.4,6.1,36.9,6.9,0,385,1094,11.62,30,176.6,66,671400,840600,-0.690168665,0,0.627170712,1,-1.942008069,3.288919606,1.264817823,0.788875116,1.567026366,0.838849091,-1,2.58546073,33.07567082,1.101059355,5.477225575,0
Lower Cattail,2023,0.005399568,0,2.990196078,0,0.049019608,1760.714286,17.6,3.42,37.4,7.21,0.3,32.81,307.7,15.95,7,464.5,153,486000,615600,-1.984645065,0,0.485275939,0,-1.218616778,3.245935476,1.245512668,0.540329475,1.572871602,0.857935265,-0.397940009,1.51600623,17.54137965,1.229169703,2.645751311,0
Pond S,2022,0,3,53.97142857,0,1.314285714,3888,18.7,0.57,38.36,7.09,0.3,133.4,282.4,8.32,25,413,76,579600,603900,-2.304490568,0.602059991,1.732700032,0,0.122449936,3.589837943,1.271841607,-0.207608311,1.583878598,0.850646235,-0.397940009,2.12515583,16.80476123,0.969415912,5,0
Upper Cattail,2024,0.05599711,180,9.545454545,0,0.136363636,936,13.9,0.1,40.02,6.63,0.2,32.81,293.7,4.997,50,263.2,152.4,396900,832500,-1.214973373,2.257678575,0.982819239,0,-0.830348465,2.971739591,1.1430148,-0.823908741,1.602277084,0.821513528,-0.522878745,1.51600623,17.13767779,0.777934049,7.071067812,1
Oxbow,2022,0,0,0.428571429,0,0,23500,12.5,0.19,43.28,7.01,0.3,125.7,325.2,0,90,388.3,90,732600,732600,-2.304490568,0,-0.305185955,0,-1.942008069,4.371086342,1.096910013,-0.619788758,1.636287252,0.845718018,-0.397940009,2.099335278,18.03330253,0,9.486832981,0
Millsap 2,2023,0.251396648,8,8.333333333,0.601851852,0.138888889,496,20,5.55,44.15,7.55,0.2,72.98,245.7,41.85,8,327.9,112,688500,1113300,-0.591154879,0.954242509,0.924279286,1,-0.822990571,2.696356389,1.301029996,0.748188027,1.644930708,0.877946952,-0.522878745,1.863203859,15.67482057,1.631950826,2.828427125,0
Pond N,2022,0.225733634,0,32.34285714,0,0.228571429,8778,14.4,2,44.72,7.06,0.3,120,425.1,25.45,30,464.2,76,675000,675000,-0.636963793,0,1.51067265,0,-0.619788758,3.943445049,1.158362492,0.311753861,1.650501795,0.848804701,-0.397940009,2.079181246,20.61795334,1.422425676,5.477225575,0
Pond R,2022,0,0,17.24696356,0,1.943319838,3880.5,17.6,1.33,46.72,6.97,0.3,133.4,397.4,45.95,15,487.4,100,650700,652500,-2.304490568,0,1.238388138,0,0.291090868,3.58899959,1.245512668,0.139879086,1.669502834,0.843232778,-0.397940009,2.12515583,19.93489403,1.671635597,3.872983346,0
Upper Cattail,2023,0.071580064,24.545,3.55,0,0.1,4626.818,14.4,1.8,51.2,7.11,0.2,32.81,273.1,2.818,70,255,152.4,396900,832500,-1.11610938,1.407305907,0.558308484,0,-0.953003439,3.665376271,1.158362492,0.267171728,1.709269961,0.851869601,-0.522878745,1.51600623,16.5257375,0.581835924,8.366600265,0
Buena Vista 1,2024,0.100624566,97.777778,2.358490566,0,0.660377359,675.2777778,21.9,0.66,53.52,6.3,0,618.4,78.65,5.135,15,103.1,134.112,1070100,1070100,-0.976398257,1.994659253,0.384739901,0,-0.172756167,2.830125117,1.340444115,-0.148741651,1.728516105,0.79934055,-1,2.791269481,8.868483523,0.787814567,3.872983346,0
Valencia,2022,0,25.85,2.364130435,0,0,578.1,12.6,0.38,65.23,6.57,0,1068,474.6,7.684,80,144,76,37800,971100,-2.304490568,1.42894429,0.38574871,0,-1.942008069,2.762753565,1.100370545,-0.366531544,1.814447379,0.81756537,-1,3.028571253,21.78531616,0.938719815,8.94427191,1
Merk,2024,0,14,0.508474576,0.889830509,0.042372881,1960,20,0.05,83.22,6.79,0.1,1594,172.1,24.18,5,229.6,152.4,693000,750600,-2.304490568,1.176091259,-0.240225488,1,-1.269206003,3.292477594,1.301029996,-1,1.920227711,0.831869774,-0.698970004,3.202488317,13.11868896,1.401055726,2.236067977,1
Delaney,2022,0,38,8.888888889,0,0,423,17.4,4.29,87.14,6.5,0,371.5,259.9,19.09,20,145,122,974700,1012500,-2.304490568,1.591064607,0.952092532,0,-1.942008069,2.627365857,1.240549248,0.63748973,1.940217556,0.812913357,-1,2.569958818,16.12141433,1.302979937,4.472135955,0
Visitor Center,2023,0,0,19.06862745,0,0.049019608,244,17.8,9.39,99.6,7.88,0.1,374.9,156.9,3.469,8,201.6,91.44,692100,756000,-2.304490568,0,1.281835142,0,-1.218616778,2.389166084,1.250420002,0.974971994,1.998259338,0.896526218,-0.698970004,2.57391544,12.52597302,0.650210355,2.828427125,0
Calabasas,2024,0.069332101,0,19.56730769,0,0,1152,15.4,4.98,123.97,6.47,0,102.82,755.4,6.454,15,140.8,88.392,883800,1260000,-1.129055506,0,1.293008219,0,-1.942008069,3.061829307,1.187520721,0.701567985,2.093316601,0.810904281,-1,2.0120776,27.48454111,0.872389388,3.872983346,0
Prospect,2024,0.070082165,38.5,33.1557377,0,0.614754098,13366.5,19.2,2,207.6,6.89,0,377.2,283.1,8.121,30,166.3,158.496,639900,882900,-1.12469281,1.596597096,1.52143106,0,-0.203298957,4.126050193,1.283301229,0.311753861,2.317227349,0.838219222,-1,2.576571684,16.82557577,0.960042456,5.477225575,0
Ellicott,2024,0.176168339,44,14.95192308,0,1.057692308,2214,16.9,1.06,250,6.23,0,385,198.1,3.556,85,108.7,158.496,671400,840600,-0.742012835,1.653212514,1.176629154,0,0.029026811,3.345373731,1.227886705,0.045322979,2.397940009,0.794488047,-1,2.58546073,14.07480018,0.658583715,9.219544457,1
Millsap 2,2024,0,205.33333,11.55660377,0.141509434,0.377358491,2176.166667,18.5,4.01,250,7.25,0.2,72.98,152.6,29.35,15,310,94.488,688500,1113300,-2.304490568,2.314569387,1.065328343,1,-0.410288196,3.337891677,1.267171728,0.608526034,2.397940009,0.860338007,-0.522878745,1.863203859,12.35313725,1.482158695,3.872983346,1
Delaney,2024,0.009578544,51,2.272727273,0,0.409090909,8838,13.6,0.7,278.62,5.85,0,371.5,692,21.38,35,103.5,121.92,974700,1012500,-1.837469616,1.716003344,0.369103361,0,-0.376213881,3.946403134,1.133538908,-0.124938737,2.445012288,0.767155866,-1,2.569958818,26.30589288,1.349860082,5.916079783,1
South Moro Cojo,2022,0.004960317,21,6.428571429,0.414285714,0.114285714,669,21.9,3.96,1281,7.22,0.7,970.85,407.8,9.25,80,1263,30,732600,899100,-2.003460572,1.342422681,0.812595076,1,-0.90061537,2.826074803,1.340444115,0.603144373,3.10754913,0.858537198,-0.096910013,2.987152135,20.19405853,1.010723865,8.94427191,0
